"Years","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"        Northeast (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49183045","49269574","49333784","49536746","49718187","49868586","50071307","50301685","50583925","50756901","50916548","51166980","51447656","51777957","52036206","52278383","52513334","52745365","53022824","53343775","53666295","53915522","54143915","54334453","54423533","54451230","54522659","54653362","54875926","55133101","55380134","55604223","55775216","55901806","56006011","56034684","56042330","56059240","56046620","55982803"
"        Midwest (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58901238","58912038","58784164","58691281","58775281","58819680","58847704","59017675","59254030","59467754","59788707","60339238","60928804","61484354","61970726","62473250","62944737","63344954","63715930","64100061","64491431","64776531","65018293","65276954","65532305","65751872","66028555","66293689","66523935","66748437","66974416","67157800","67336743","67560379","67745167","67860583","67987540","68126781","68236628","68329004"
"        South (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75721008","76964608","78302445","79449355","80417379","81408836","82427783","83207732","83890480","84700107","85796360","87225702","88704251","90218014","91749057","93249180","94717153","96245085","97722335","99164460","100565549","101849575","103150787","104380188","105883977","107479771","109076933","110688742","112184930","113548615","114866680","116006522","117241208","118364400","119624037","120997341","122351760","123542189","124569433","125580448"
"        West (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43419428","44319388","45244103","46114521","46913936","47826630","48786047","49761931","50770401","51894357","53121199","54249021","55433513","56438263","57369832","58277580","59219060","60311521","61393015","62431872","63439136","64427327","65312198","66116338","66965483","67833726","68751765","69595414","70509175","71341376","72100436","72788329","73477823","74167130","74925793","75742555","76559681","77257329","77834820","78347268"
"    Gender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Male (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110398754","111502912","112579479","113646987","114670252","115729577","116865225","117960907","119085496","120277490","121713764","123416235","125247146","126970600","128597479","130215371","131807484","133473526","135129904","136802873","138443407","139891492","141230559","142428897","143828012","145197078","146647265","148064854","149489951","150807454","152074758","153200058","154374397","155481926","156654424","157856394","159021785","160045920","160885734","161657324"
"        Female (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116825965","117962696","119085017","120144916","121154531","122194155","123267616","124328116","125413340","126541629","127909050","129564706","131267078","132947988","134528342","136063022","137586800","139173399","140724200","142237295","143719004","145077463","146394634","147679036","148977286","150319521","151732647","153166353","154604015","155964075","157246908","158356816","159456593","160511789","161646584","162778769","163919526","164939619","165801767","166582199"
"    Life Stage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Children (under 18) (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63683466","63211690","62812665","62566086","62482778","62623913","62865654","63056407","63247010","63456320","64215494","65313018","66509177","67594938","68640935","69473139","70233512","70920737","71431406","71946049","72376189","72671175","72936457","73100758","73297735","73523669","73757714","74019405","74104602","74134167","74120666","73907524","73696664","73568702","73563723","73618051","73649413","73585346","73319145","73039150"
"            Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1501334","1505028","1502652","1493372","1479541","1464140","1450202","1439757","1429727","1422935","1417522","1410090","1403504","1398215","1392957","1386023","1378491","1373069","1366857",
"            New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"508132","503404","502779","500777","501184","502612","505125","508725","511214","515470","518504","517279","513447","509329","503922","499292","494785","488380","482153",
"            Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"190615","188771","188482","186843","186335","185304","185580","184344","183124","186351","187995","188554","188357","188278","186753","186071","186810","185608","183816",
"            Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"295352","294133","293600","294519","298103","298497","299313","300207","301094","302796","303874","305902","307396","308745","307902","308183","307485","305575","303413",
"            Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1399685","1407578","1414857","1424861","1433343","1449326","1470166","1482747","1494354","1494687","1494690","1491410","1491756","1492118","1495089","1499226","1502872","1506196","1506219",
"            Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"516018","534708","552816","568963","591314","611595","634403","654053","662621","666041","663315","657703","655307","656116","659946","667343","674878","681303","688997",
"            Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2918850","2905836","2894935","2883270","2873125","2859793","2850778","2839574","2821004","2804929","2786430","2763820","2740151","2718128","2703305","2689671","2675025","2663231","2648911",
"            District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114503","114625","113822","111403","109756","107187","105651","104126","102257","102098","101267","103904","107620","111940","115727","119103","121675","125072","127494",
"            Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1217670","1204187","1194819","1188070","1182731","1177954","1078779","1096642","1108728","1114228","1117830","1116168","1113929","1112426","1113733","1114942","1113728","1106368","1095916",
"            Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"147549","146040","144441","142718","141068","138933","136731","134695","132600","130450","128801","126996","124926","123114","121552","120090","118288","116981","115973",
"            New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"310352","311877","312743","311412","309243","307403","305169","300918","296029","290850","285917","281234","276349","271852","267887","264919","262630","260450","258170",
"            Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"248065","248296","248690","248075","246228","241932","237348","233655","229798","225902","223485","220546","217541","214882","212488","210691","209001","206899","205202",
"            Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3654880","3714439","3774624","3820876","3890734","3968178","4022912","4031098","4018372","3997283","3997518","3999176","4007836","4022099","4053122","4101889","4159329","4201113","4229071",
"            Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"301407","300088","298595","296786","294791","292039","288945","286185","282204","277946","273398","269118","265107","262027","259695","256439","254618","252696","250404",
"            Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"128774","126212","125495","124182","123974","124022","125525","128760","131511","134960","135486","135370","136382","137669","138364","139552","138773","136247","134775",
"            Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"774353","768418","763148","759447","760410","760870","756990","761171","760572","758539","753552","747664","741819","735564","731444","726375","721030","714353","706138",
"            North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"160477","156113","153097","150406","149128","148119","147331","147263","147462","148674","150409","152739","157312","163396","168573","174154","175364","176373","178697",
"            California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9267089","9325466","9365142","9404594","9418497","9405565","9370884","9335620","9321621","9294501","9280448","9244602","9193267","9156957","9133599","9116020","9086531","9044674","8989764",
"            Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1574989","1579527","1580814","1582560","1586281","1593898","1603107","1609494","1611494","1609704","1606170","1598460","1589836","1586139","1582125","1578278","1575825","1572675","1568130",
"            South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"202681","200795","198694","197326","196804","196476","197332","198847","199848","201204","203212","204022","205499","207765","209653","211155","213763","216151","217606",
"            Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"450380","448307","447714","447444","448360","448918","450098","451946","453787","456543","459743","460850","462471","464517","467315","470532","473700","475750","476841",
"            Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"847511","848663","850733","850251","846786","849323","857003","862161","865664","866194","866023","864713","861194","857970","860197","863463","870667","873798","873567",
"            Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"194914","196038","196946","198045","199631","201988","203729","205155","206116","206213","205525","204806","204174","203341","203450","203765","203633","203576","203616",
"            Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"994984","994105","995251","998485","998459","1004020","1011295","1016288","1022001","1021710","1023476","1021826","1018553","1017239","1014821","1012887","1012184","1011177","1008829",
"            West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"401062","395307","393569","392460","391856","390431","390637","390661","390210","389036","387242","385564","384472","382451","380798","378231","374348","369122","364160",
"            Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1370440","1367593","1365315","1358505","1354643","1349866","1348785","1348901","1345573","1342411","1336983","1326328","1316739","1308805","1302117","1295144","1288339","1283017","1276101",
"            Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1289715","1291261","1288795","1283687","1281946","1280557","1282381","1285074","1284179","1284103","1283284","1280883","1277500","1278711","1282700","1285300","1291882","1298811","1302615",
"            North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1967626","2003782","2034451","2060838","2085165","2122485","2166393","2219168","2252101","2272955","2281349","2281469","2279958","2280343","2283124","2286738","2293538","2299943","2300622",
"            Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"680378","679606","678798","679579","683166","689787","697842","702737","705725","707886","711622","711634","711181","709024","707169","706559","706077","705584","703180",
"            Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3244944","3243617","3238362","3225547","3211599","3197318","3181246","3170134","3153401","3138406","3123195","3092397","3059460","3024907","2992550","2962043","2929825","2895256","2857131",
"            Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"721686","726819","733517","740483","751771","767888","789957","815496","837258","857853","874022","881982","888588","897446","903790","910592","920274","927441","932462",
"            Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1516361","1517527","1517655","1514877","1520751","1523890","1536926","1549582","1560302","1574403","1582791","1586256","1588536","1593442","1601850","1614360","1632927","1651817","1663283",
"            Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"230067","227118","224772","223012","221999","221685","221930","223135","223814","223675","223393","223113","222879","224381","225508","226587","227957","229243","229434",
"            Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"891847","885218","884961","883959","881606","885316","894761","904328","910617","922711","931498","936148","940803","949130","954857","961306","962350","959173","956433",
"            Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"842242","845850","848877","851115","848979","844034","839372","833484","826626","820839","814369","804605","794452","782419","772625","761732","751883","743234","735193",
"            Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"713887","710923","709416","707847","705456","704689","705277","711005","714689","721841","727489","726569","726397","724263","722375","720719","716983","712035","705961",
"            Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5906301","5980187","6060372","6132980","6208259","6290970","6446798","6565872","6675917","6792907","6877606","6933728","6991156","7053862","7142469","7240925","7316392","7365791","7398009",
"            Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2596114","2593310","2584310","2569080","2553314","2531839","2503548","2470063","2418879","2372603","2334187","2301795","2272917","2249512","2230416","2209453","2194559","2181147","2164668",
"            New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4687374","4672425","4652232","4619506","4574065","4514456","4457777","4410949","4372170","4342926","4319807","4296116","4264992","4236272","4205535","4180315","4148280","4109166","4068092",
"            Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1373414","1399015","1427938","1453671","1484454","1529168","1574867","1607895","1628651","1627343","1626340","1615978","1616830","1618232","1623955","1628980","1636043","1639054","1642647",
