School year,County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon PossessionThrough Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2010-2011,BROOKLYN,New York City Geographic District #14,Ps 250 George H Lindsey,331400010250,Elementary,New York City,Public,813,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #14,Ps 257 John F Hylan,331400010257,Elementary,New York City,Public,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2010-2011,BROOKLYN,New York City Geographic District #14,Ps 297 Abraham Stockton,331400010297,Elementary,New York City,Public,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #14,Ps 31 Samuel F Dupont,331400010031,Elementary,New York City,Public,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #14,Ps 319,331400010319,Elementary,New York City,Public,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #14,Ps 34 Oliver H Perry,331400010034,Elementary,New York City,Public,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #14,Ps 380 John Wayne Elementary,331400010380,Elementary,New York City,Public,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #14,Ps 59 William Floyd,331400010059,Elementary,New York City,Public,435,0,0,0,0,0,4,0,0,0,0,0,0,0,1,4,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2010-2011,BROOKLYN,New York City Geographic District #14,Ps 84 Jose De Diego,331400010084,Elementary,New York City,Public,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,9,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
2010-2011,BROOKLYN,New York City Geographic District #14,School For Legal Studies,331400011477,Senior High,New York City,Public,813,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1,0,34,0,3,0,0,0,2,0,2,0,0,0,0,2,5,0,2,17
2010-2011,BROOKLYN,New York City Geographic District #14,Urban Assembly School For The Urban Environment (The),331400011330,Middle School,New York City,Public,146,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,17,0,10,0,0,0,1,0,0,0,0,0,0,0,2,0,0,10
2010-2011,BROOKLYN,New York City Geographic District #14,Williamsburg High School For Architecture And Design,331400011558,Senior High,New York City,Public,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,14,1,11,0,0,0,3,0,2,0,0,0,0,3,0,4,0,28
2010-2011,BROOKLYN,New York City Geographic District #14,Williamsburg Preparatory School,331400011561,Senior High,New York City,Public,539,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,3,0,0,0,5,0,1,0,0,0,0,1,3,3,1,20
2010-2011,BROOKLYN,New York City Geographic District #14,Young Women'S Leadership School Of Brooklyn,331400011614,Middle School,New York City,Public,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-2011,BROOKLYN,New York City Geographic District #15,Agnes Y Humphrey School For Leadership,331500010027,Junior Senior School,New York City,Public,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2010-2011,BROOKLYN,New York City Geographic District #15,Brooklyn High School Of The Arts,331500011656,Senior High,New York City,Public,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16,0,4,0,0,0,5,0,2,0,0,0,0,0,2,3,0,25
2010-2011,BROOKLYN,New York City Geographic District #15,Brooklyn School For Global Studies,331500011429,Junior Senior School,New York City,Public,425,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,51,1,11,0,0,0,6,0,1,0,1,0,0,0,1,5,0,103
2010-2011,BROOKLYN,New York City Geographic District #16,Brooklyn Brownstone School,331600010628,Elementary,New York City,Public,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #15,Brooklyn Secondary School For Collaborative Studies,331500010448,Junior Senior School,New York City,Public,697,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,1,39,1,39,0,0,0,3,0,2,1,0,0,0,0,11,2,1,97
2010-2011,BROOKLYN,New York City Geographic District #15,Cobble Hill School Of American Studies,331500011519,Senior High,New York City,Public,681,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,11
2010-2011,BROOKLYN,New York City Geographic District #15,Is 136 Charles O Dewey,331500010136,Middle School,New York City,Public,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,4,0,0,0,1,0,1,0,0,0,0,0,2,2,0,25
2010-2011,BROOKLYN,New York City Geographic District #15,Jhs 88 Peter Rouget,331500010088,Middle School,New York City,Public,898,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1
2010-2011,BROOKLYN,New York City Geographic District #15,Magnet School For Science And Technology,331500010154,Elementary,New York City,Public,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #15,"Magnet School Of Math, Science & Design Tech",331500010010,Elementary,New York City,Public,766,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #15,Math And Science Exploratory School (The),331500010447,Middle School,New York City,Public,502,0,0,0,0,0,4,0,0,0,0,2,0,0,0,2,0,0,1,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
2010-2011,BROOKLYN,New York City Geographic District #15,Metropolitan Corporate Academy High School,331500011530,Senior High,New York City,Public,291,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,6,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3
2010-2011,BROOKLYN,New York City Geographic District #15,Ms 51 William Alexander,331500010051,Middle School,New York City,Public,1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #15,New Horizons School,331500010442,Middle School,New York City,Public,193,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,21,2,22,0,0,0,1,0,0,0,0,0,0,0,7,1,0,42
2010-2011,BROOKLYN,New York City Geographic District #15,New Voices School Of Academic And Creative Arts,331500010443,Middle School,New York City,Public,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #15,Pacific High School,331500011520,Senior High,New York City,Public,205,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8
2010-2011,BROOKLYN,New York City Geographic District #15,Park Slope Collegiate,331500011464,Junior Senior School,New York City,Public,428,0,0,0,1,0,1,0,1,0,0,0,0,0,0,4,1,0,0,49,1,18,0,0,0,10,0,4,0,0,0,0,2,0,2,6,151
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 1 The Bergen,331500010001,Elementary,New York City,Public,1198,0,0,0,0,0,3,0,0,0,1,0,0,0,0,10,0,0,5,13,2,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 107 John W Kimball,331500010107,Elementary,New York City,Public,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 124 Silas B Dutcher,331500010124,Elementary,New York City,Public,346,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 130 The Parkside,331500010130,Elementary,New York City,Public,588,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 131,331500010131,Elementary,New York City,Public,980,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 146,331500010146,Elementary,New York City,Public,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 15 Patrick F Daly,331500010015,Elementary,New York City,Public,392,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 169 Sunset Park,331500010169,Elementary,New York City,Public,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 172 Beacon School Of Excellence,331500010172,Elementary,New York City,Public,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 230 Doris L Cohen,331500010230,Elementary,New York City,Public,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 24,331500010024,Elementary,New York City,Public,759,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 261 Philip Livingston,331500010261,Elementary,New York City,Public,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 29 John M Harrigan,331500010029,Elementary,New York City,Public,679,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,7,0,0,0,0,0,2,0,0,2
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 295,331500010295,Elementary,New York City,Public,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 32 Samuels Mills Sprole,331500010032,Elementary,New York City,Public,289,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 321 William Penn,331500010321,Elementary,New York City,Public,1376,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,14,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 38 The Pacific,331500010038,Elementary,New York City,Public,471,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 39 Henry Bristow,331500010039,Elementary,New York City,Public,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 58 The Carroll,331500010058,Elementary,New York City,Public,791,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
2010-2011,BROOKLYN,New York City Geographic District #15,Ps 94 The Henry Longfellow,331500010094,Elementary,New York City,Public,1268,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #15,Red Hook Neighborhood School,331500010676,Elementary,New York City,Public,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2010-2011,BROOKLYN,New York City Geographic District #15,School For International Studies,331500011497,Junior Senior School,New York City,Public,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,6,0,0,0,0,0,3,0,0,0,0,1,0,0,1,9
2010-2011,BROOKLYN,New York City Geographic District #15,Secondary School For Journalism,331500011463,Junior Senior School,New York City,Public,389,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,9,0,1,0,0,0,4,0,2,0,0,0,0,2,0,4,0,3
2010-2011,BROOKLYN,New York City Geographic District #15,Secondary School For Law,331500011462,Junior Senior School,New York City,Public,522,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,18,0,13,0,0,0,1,0,3,1,0,0,0,4,0,0,0,23
2010-2011,BROOKLYN,New York City Geographic District #15,South Brooklyn Community High School,331500011698,Senior High,New York City,Public,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,3,15
2010-2011,BROOKLYN,New York City Geographic District #15,Sunset Park High School,331500011667,Senior High,New York City,Public,693,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,4,1,61,2,16,0,0,0,4,0,2,0,1,0,0,1,6,6,7,54
2010-2011,BROOKLYN,New York City Geographic District #15,Sunset Park Prep,331500010821,Middle School,New York City,Public,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2
2010-2011,BROOKLYN,New York City Geographic District #15,West Brooklyn Community High School,331500011529,Senior High,New York City,Public,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #16,Boys And Girls High School,331600011455,Senior High,New York City,Public,1954,0,0,0,0,0,1,0,1,1,0,0,0,0,4,6,0,3,1,95,0,19,0,0,0,2,0,0,0,0,0,0,24,4,2,0,50
2010-2011,BROOKLYN,New York City Geographic District #16,Brighter Choice Community School,331600010627,Elementary,New York City,Public,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #16,Brooklyn High School For Law And Technology,331600011498,Senior High,New York City,Public,413,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,2,10,1,6,0,0,0,1,0,1,0,2,0,0,0,2,1,0,4
2010-2011,BROOKLYN,New York City Geographic District #16,Frederick Douglass Academy Iv Secondary School,331600010393,Junior Senior School,New York City,Public,467,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,2,6,2,0,31
2010-2011,BROOKLYN,New York City Geographic District #16,Gotham Professional Arts Academy,331600011594,Senior High,New York City,Public,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
2010-2011,BROOKLYN,New York City Geographic District #16,Jhs 57 Whitelaw Reid,331600010057,Middle School,New York City,Public,240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,23,1,7,0,0,0,2,0,0,0,0,0,0,0,0,0,2,6
2010-2011,BROOKLYN,New York City Geographic District #16,"Ms 267 Math, Science & Technology",331600010267,Middle School,New York City,Public,277,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #16,Ms 35 Stephen Decatur,331600010035,Middle School,New York City,Public,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-2011,BROOKLYN,New York City Geographic District #16,Ms 584,331600010584,Middle School,New York City,Public,224,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0
2010-2011,BROOKLYN,New York City Geographic District #16,Ps 21 Crispus Attucks,331600010021,Elementary,New York City,Public,684,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #16,Ps 243 The Weeksville School,331600010243,Elementary,New York City,Public,369,0,0,0,0,0,1,0,0,0,1,0,0,0,2,7,0,1,4,29,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9
2010-2011,BROOKLYN,New York City Geographic District #16,Ps 25 Eubie Blake School,331600010025,Elementary,New York City,Public,334,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #16,Ps 26 Jesse Owens,331600010026,Elementary,New York City,Public,348,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,19,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3
2010-2011,BROOKLYN,New York City Geographic District #16,Ps 262 El Hajj Malik El Shabazz Elementary School,331600010262,Elementary,New York City,Public,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #16,Ps 28 The Warren Prep Academy,331600010028,Elementary,New York City,Public,251,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #16,Ps 308 Clara Cardwell,331600010308,Elementary,New York City,Public,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2010-2011,BROOKLYN,New York City Geographic District #16,Ps 309 George E Wibecan Preparatory Academy,331600010309,Elementary,New York City,Public,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2010-2011,BROOKLYN,New York City Geographic District #16,Ps 335 Granville T Woods,331600010335,Elementary,New York City,Public,432,0,0,0,0,0,1,0,0,0,1,0,0,0,2,4,0,0,1,5,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,6
2010-2011,BROOKLYN,New York City Geographic District #16,Ps 40 George W Carver,331600010040,Elementary,New York City,Public,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #16,Ps 5 Dr Ronald Mcnair,331600010005,Elementary,New York City,Public,439,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2010-2011,BROOKLYN,New York City Geographic District #16,Ps 81 Thaddeus Stevens,331600010081,Elementary,New York City,Public,448,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
2010-2011,BROOKLYN,New York City Geographic District #16,School Of Business Finance & Entrepreneurship,331600010385,Middle School,New York City,Public,225,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,7,1,3,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2
2010-2011,BROOKLYN,New York City Geographic District #16,The Brooklyn Academy Of Global Finance,331600011688,Senior High,New York City,Public,144,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,41,0,7,0,0,0,6,0,2,0,0,0,0,0,5,1,2,21
2010-2011,BROOKLYN,New York City Geographic District #16,Upper School At Ps 25,331600010534,Middle School,New York City,Public,231,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,13,0,1,0,0,0,3,0,1,0,0,0,0,0,4,0,0,7
2010-2011,BROOKLYN,New York City Geographic District #16,Young Scholars Academy For Discovery And Exploration,331600010636,Elementary,New York City,Public,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
2010-2011,BROOKLYN,New York City Geographic District #17,Acad For College Prep & Career Exploration: A College Board Sch,331700011382,Junior Senior School,New York City,Public,568,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,4,4,59,6,36,0,0,0,2,0,1,0,2,0,0,2,1,6,0,43
2010-2011,BROOKLYN,New York City Geographic District #17,Academy For Health Careers,331700011751,Senior High,New York City,Public,82,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
2010-2011,BROOKLYN,New York City Geographic District #17,Academy Of Hospitality And Tourism,331700011408,Senior High,New York City,Public,312,0,0,0,0,0,3,0,1,0,0,0,0,0,1,4,0,0,1,30,0,15,0,0,0,1,0,1,0,0,0,0,5,1,5,0,44
2010-2011,BROOKLYN,New York City Geographic District #17,Brooklyn Academy Of Science And The Environment,331700011547,Senior High,New York City,Public,447,0,0,0,0,0,4,0,0,0,1,1,0,0,1,1,0,1,0,9,0,7,0,0,0,2,0,0,0,0,0,0,0,0,1,2,25
2010-2011,BROOKLYN,New York City Geographic District #17,Brooklyn School For Music & Theater,331700011548,Senior High,New York City,Public,396,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,24,0,28,0,0,0,7,0,0,0,0,0,0,1,0,0,0,95
2010-2011,BROOKLYN,New York City Geographic District #17,Brownsville Academy High School,331700011568,Senior High,New York City,Public,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,6,0,2,0,1
2010-2011,BROOKLYN,New York City Geographic District #17,Clara Barton High School,331700011600,Senior High,New York City,Public,1752,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,48,0,21,0,0,0,6,0,3,0,3,0,0,7,5,4,3,67
2010-2011,BROOKLYN,New York City Geographic District #17,Dr Jacqueline Peek-Davis School,331700010012,Elementary,New York City,Public,267,0,0,0,0,0,3,0,0,0,0,1,0,0,2,8,0,0,5,24,1,5,0,0,0,2,0,0,0,0,0,0,0,2,1,0,3
2010-2011,BROOKLYN,New York City Geographic District #17,Ebbetts Field Middle School,331700010352,Middle School,New York City,Public,407,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,5,41,1,3,0,0,0,4,0,2,0,0,0,0,2,2,1,1,33
2010-2011,BROOKLYN,New York City Geographic District #17,Elijah Stroud Middle School,331700010353,Middle School,New York City,Public,142,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,25,0,8,0,0,0,3,0,1,0,0,0,0,0,3,0,0,11
2010-2011,BROOKLYN,New York City Geographic District #17,High School For Global Citizenship (The),331700011528,Senior High,New York City,Public,388,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,21,0,4,0,0,0,1,0,2,0,2,0,0,1,0,1,2,11
2010-2011,BROOKLYN,New York City Geographic District #17,High School For Service And Learning At Erasmus,331700011539,Senior High,New York City,Public,408,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,1,0,0,0,0,1,0,4,0,15
2010-2011,BROOKLYN,New York City Geographic District #17,High School For Youth And Community Development,331700011537,Senior High,New York City,Public,399,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,6,1,10,0,0,0,0,0,0,0,0,0,0,1,2,2,0,28
2010-2011,BROOKLYN,New York City Geographic District #17,Hs For Public Service-Heroes Of Tomorrow,331700011546,Senior High,New York City,Public,407,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
2010-2011,BROOKLYN,New York City Geographic District #17,International Arts Business School,331700011544,Senior High,New York City,Public,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,20,0,15,0,0,0,6,0,2,0,0,0,0,2,1,4,2,46
2010-2011,BROOKLYN,New York City Geographic District #17,International High School At Prospect Heights,331700011524,Senior High,New York City,Public,435,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,16,0,4,0,0,0,3,0,1,0,0,0,0,0,0,1,2,21
2010-2011,BROOKLYN,New York City Geographic District #17,Is 340,331700010340,Middle School,New York City,Public,275,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,12,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2010-2011,BROOKLYN,New York City Geographic District #17,Medgar Evers College Preperatory School,331700011590,Junior Senior School,New York City,Public,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,2,0,0,0,0,0,0,0,0,8,0,35
