School year,County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon PossessionThrough Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2010-2011,BRONX,New York City Geographic District # 7,Ps 154 Jonathan D Hyatt,320700010154,Elementary,New York City,Public,516,0,0,0,0,0,7,0,0,0,0,0,0,0,1,5,0,2,4,48,9,4,0,0,0,5,0,2,0,0,0,0,0,0,0,0,15
2010-2011,BRONX,New York City Geographic District # 7,Ps 157 Grove Hill,320700010157,Elementary,New York City,Public,604,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,9,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2010-2011,BRONX,New York City Geographic District # 7,Ps 161 Ponce De Leon,320700010161,Elementary,New York City,Public,631,0,0,0,0,0,2,0,0,0,0,0,0,0,1,14,0,1,5,19,5,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
2010-2011,BRONX,New York City Geographic District # 7,Ps 179,320700010179,Elementary,New York City,Public,394,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
2010-2011,BRONX,New York City Geographic District # 7,Ps 18 John Peter Zenger,320700010018,Elementary,New York City,Public,519,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2010-2011,BRONX,New York City Geographic District # 7,Ps 25 Bilingual School,320700010025,Elementary,New York City,Public,350,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BRONX,New York City Geographic District # 7,Ps 277,320700010277,Elementary,New York City,Public,529,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0
2010-2011,BRONX,New York City Geographic District # 7,Ps 30 Wilton,320700010030,Elementary,New York City,Public,476,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1,1,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2010-2011,BRONX,New York City Geographic District # 7,Ps 43 Jonas Bronck,320700010043,Elementary,New York City,Public,477,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,1,2,19,2,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,6
2010-2011,BRONX,New York City Geographic District # 7,Ps 49 Willis Avenue,320700010049,Elementary,New York City,Public,643,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
2010-2011,BRONX,New York City Geographic District # 7,Ps 5 Port Morris,320700010005,Elementary,New York City,Public,556,0,0,0,0,0,5,0,0,0,1,0,0,0,1,3,0,1,2,17,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3
2010-2011,BRONX,New York City Geographic District # 7,Ps 65 Mother Hale Academy,320700010065,Elementary,New York City,Public,375,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,1,3,11,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1
2010-2011,BRONX,New York City Geographic District # 7,Ps/Is 224,320700010224,Middle School,New York City,Public,382,0,0,0,0,0,1,0,0,1,0,0,0,0,4,9,1,2,2,15,0,6,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2
2010-2011,BRONX,New York City Geographic District # 7,Ps/Ms 29 Melrose School,320700010029,Elementary,New York City,Public,735,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,40,0,6,0,0,0,3,0,0,1,1,0,0,0,2,0,0,26
2010-2011,BRONX,New York City Geographic District # 7,Ps/Ms 31 The William Lloyd Garrison,320700010031,Elementary,New York City,Public,667,0,0,0,0,0,2,0,1,0,0,0,0,0,1,6,0,1,1,31,0,14,0,0,0,3,0,3,0,0,0,0,0,3,0,1,16
2010-2011,BRONX,New York City Geographic District # 7,Samuel Gompers Career And Technical Education High School,320700011655,Senior High,New York City,Public,831,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,27,0,8,0,0,0,3,0,6,1,0,0,0,5,1,0,2,34
2010-2011,BRONX,New York City Geographic District # 7,South Bronx Academy For Applied Media,320700010296,Middle School,New York City,Public,274,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,2,23,0,5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,14
2010-2011,BRONX,New York City Geographic District # 7,South Bronx Preparatory - A College Board School,320700011221,Junior Senior School,New York City,Public,589,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,2,9,0,12,0,0,0,2,0,3,0,6,0,0,0,2,3,0,23
2010-2011,BRONX,New York City Geographic District # 7,University Heights Secondary School-Bronx Community College,320700011495,Senior High,New York City,Public,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,6
2010-2011,BRONX,New York City Geographic District # 7,Urban Assembly Bronx Academy Of Letters (The),320700011551,Junior Senior School,New York City,Public,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,34,0,11,0,0,0,1,0,1,0,0,0,0,0,2,1,0,12
2010-2011,BRONX,New York City Geographic District # 7,Urban Assembly School For Careers In Sports,320700011548,Senior High,New York City,Public,425,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,35,0,6,0,0,0,2,0,4,0,0,0,0,0,6,1,0,54
2010-2011,BRONX,New York City Geographic District # 7,Young Leaders Elementary School,320700010369,Elementary,New York City,Public,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
2010-2011,BRONX,New York City Geographic District # 8,Academy Of The Arts (The),320800010335,Elementary,New York City,Public,214,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,2,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
2010-2011,BRONX,New York City Geographic District # 8,Antonia Pantoja Preperatory Academy,320800011376,Junior High School,New York City,Public,368,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,30,1,16,0,0,0,5,0,1,0,0,0,0,1,0,1,0,34
2010-2011,BRONX,New York City Geographic District # 8,"Archimedes Academy For Math, Science And Technology Applications",320800011367,Junior High School,New York City,Public,405,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,2,34,0,9,0,0,0,0,0,3,0,0,0,0,0,3,0,0,20
2010-2011,BRONX,New York City Geographic District # 8,Banana Kelly High School,320800011530,Senior High,New York City,Public,451,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,13,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12
2010-2011,BRONX,New York City Geographic District # 8,Bronx Academy High School,320800011560,Senior High,New York City,Public,341,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,2,0,0,0,2,0,0,0,0,0,0,1,1,1,1,8
2010-2011,BRONX,New York City Geographic District # 8,Bronx Bridges High School,320800011432,Senior High,New York City,Public,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,BRONX,New York City Geographic District # 8,Bronx Community High School,320800011377,Senior High,New York City,Public,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2010-2011,BRONX,New York City Geographic District # 8,Bronx Guild High School,320800011452,Senior High,New York City,Public,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,1,9
2010-2011,BRONX,New York City Geographic District # 8,Bronx Mathematics Preparatory School (The),320800010375,Middle School,New York City,Public,428,0,0,0,0,0,4,0,1,0,1,2,0,0,0,2,0,1,1,58,0,7,0,0,0,1,0,1,0,0,0,0,0,4,1,0,18
2010-2011,BRONX,New York City Geographic District # 8,Bronx Studio School For Writers And Artists,320800011269,Junior Senior School,New York City,Public,394,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,3,8
2010-2011,BRONX,New York City Geographic District # 8,Felisa Rincon De Gautier Institute For Law And Public Policy,320800011519,Senior High,New York City,Public,377,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,14,0,0,0,2,0,5,0,0,0,0,1,0,1,0,37
2010-2011,BRONX,New York City Geographic District # 8,Gateway School For Environmental Research And Technology,320800011295,Senior High,New York City,Public,512,0,0,0,0,0,2,0,0,0,3,0,0,0,0,2,1,0,0,23,0,8,0,0,0,3,0,0,1,0,0,0,4,1,0,0,19
2010-2011,BRONX,New York City Geographic District # 8,Herbert H Lehman High School,320800011405,Senior High,New York City,Public,3945,0,0,0,0,0,4,0,1,1,3,3,0,0,1,11,2,1,1,148,0,42,0,0,0,11,0,7,1,0,0,0,21,9,18,1,592
2010-2011,BRONX,New York City Geographic District # 8,Holcombe L Rucker School Of Community Research,320800011332,Senior High,New York City,Public,327,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
2010-2011,BRONX,New York City Geographic District # 8,Hunts Point School (The),320800010424,Junior High School,New York City,Public,406,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,24,3,6,0,0,0,0,0,1,1,0,0,0,1,0,2,0,8
2010-2011,BRONX,New York City Geographic District # 8,Jane Addams High School For Academic Careers,320800011650,Senior High,New York City,Public,1010,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,43,0,1,0,0,0,4,0,3,0,0,0,0,2,7,1,0,33
2010-2011,BRONX,New York City Geographic District # 8,Jhs 123 James M Kiernan,320800010123,Middle School,New York City,Public,530,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,3,0,2,0,0,0,0,0,1,0,0,0,0,0,3,2,0,3
2010-2011,BRONX,New York City Geographic District # 8,Jhs 125 Henry Hudson,320800010125,Middle School,New York City,Public,662,0,0,0,1,0,1,0,2,0,1,0,0,0,2,8,0,1,1,37,1,17,0,0,0,0,0,1,0,0,0,0,0,6,0,1,53
