School Year,County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon Possession Through Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2012-2013,Bronx,New York City Geographic District #11,Christopher Columbus High School,321100011415,Senior High,New York City,Public,395,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,11
2012-2013,Bronx,New York City Geographic District #11,Collegiate Institute For Math And Science,321100011288,Senior High,New York City,Public,637,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District #11,Cornerstone Academy For Social Action,321100010189,Elementary,New York City,Public,376,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-2013,Bronx,New York City Geographic District #11,Cornerstone Academy For Social Action Middle School,321100010462,Middle,New York City,Public,251,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4
2012-2013,Bronx,New York City Geographic District #11,Forward School (the),321100010287,Middle,New York City,Public,213,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-2013,Bronx,New York City Geographic District #11,Global Enterprise High School,321100011541,Senior High,New York City,Public,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-2013,Bronx,New York City Geographic District #11,Globe School For Environmental Research,321100011272,Middle,New York City,Public,354,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,2,8,1,6,0,0,0,0,0,0,0,0,0,0,2,2,2,0,6
2012-2013,Bronx,New York City Geographic District #11,Harry S Truman High School,321100011455,Senior High,New York City,Public,1775,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2012-2013,Bronx,New York City Geographic District #11,High School For Language And Innovation,321100011509,,New York City,Public,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3
2012-2013,Bronx,New York City Geographic District #11,High School Of Computers And Technology,321100011275,Senior High,New York City,Public,534,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,6,0,5,0,0,0,1,0,0,0,0,0,0,1,0,2,0,3
2012-2013,Bronx,New York City Geographic District #11,High School Of Contemporary Arts,321100011544,Senior High,New York City,Public,487,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2012-2013,Bronx,New York City Geographic District #11,Is 181 Pablo Casals,321100010181,Middle,New York City,Public,798,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,0,3,0,40,0,9,0,0,0,0,0,1,0,1,0,0,0,4,0,0,17
2012-2013,Bronx,New York City Geographic District #11,Jhs 127 The Castle Hill ,321100010127,Middle,New York City,Public,763,0,0,0,0,0,3,0,1,0,0,0,0,0,1,4,0,0,1,51,2,18,0,0,0,2,0,3,0,0,0,0,0,2,2,1,30
2012-2013,Bronx,New York City Geographic District #11,Jhs 144 Michelangelo ,321100010144,Middle,New York City,Public,831,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,0,3,1,13,2,8,0,0,0,0,0,0,2,0,0,0,0,8,1,0,3
2012-2013,Bronx,New York City Geographic District #11,Linden Tree Elementary School,321100010567,,New York City,Public,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District #11,Ms 142 John Philip Sousa ,321100010142,Junior High,New York City,Public,435,0,0,0,0,0,5,0,0,0,2,0,0,0,1,4,0,2,2,30,0,10,0,0,0,4,0,1,0,0,0,0,0,7,2,1,1
2012-2013,Bronx,New York City Geographic District #11,Ms 180 Dr Daniel Hale Williams ,321100010180,Middle,New York City,Public,897,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,5
2012-2013,Bronx,New York City Geographic District #11,New World High School,321100011513,Senior High,New York City,Public,407,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District #11,One World Middle School At Edenwald,321100010529,,New York City,Public,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
2012-2013,Bronx,New York City Geographic District #11,Pelham Academy Of Academics And Community Engagement,321100010468,Junior High,New York City,Public,300,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2012-2013,Bronx,New York City Geographic District #11,Pelham Gardens Middle School,321100010566,,New York City,Public,164,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District #11,Pelham Preparatory Academy,321100011542,Senior High,New York City,Public,498,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,4
2012-2013,Bronx,New York City Geographic District #11,Ps 103 Hector Fontanez,321100010103,Elementary,New York City,Public,1082,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2,0,13,1,1,0,0,0,2,0,0,0,0,0,0,0,5,0,0,2
2012-2013,Bronx,New York City Geographic District #11,Ps 105 Senator Abraham Bernstein,321100010105,Elementary,New York City,Public,1487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2012-2013,Bronx,New York City Geographic District #11,Ps 106 Parkchester,321100010106,Elementary,New York City,Public,1256,0,0,0,0,0,2,0,0,0,1,0,0,0,2,5,0,1,3,4,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0
2012-2013,Bronx,New York City Geographic District #11,Ps 108 Philip J Abinanti,321100010108,Elementary,New York City,Public,613,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,2,2,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
2012-2013,Bronx,New York City Geographic District #11,Ps 111 Seton Falls,321100010111,Elementary,New York City,Public,688,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2012-2013,Bronx,New York City Geographic District #11,Ps 112 Bronxwood,321100010112,Elementary,New York City,Public,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District #11,Ps 121 Throop,321100010121,Elementary,New York City,Public,982,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2012-2013,Bronx,New York City Geographic District #11,Ps 153 Helen Keller,321100010153,Elementary,New York City,Public,648,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District #11,Ps 16 Wakefield,321100010016,Elementary,New York City,Public,561,0,0,0,0,0,3,0,0,0,0,1,0,0,1,3,0,0,5,3,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
2012-2013,Bronx,New York City Geographic District #11,Ps 160 Walt Disney,321100010160,Elementary,New York City,Public,393,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,1,3,10,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
2012-2013,Bronx,New York City Geographic District #11,Ps 175 City Island,321100010175,Elementary,New York City,Public,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District #11,Ps 178 Dr Selman Waksman,321100010178,Elementary,New York City,Public,451,0,0,0,0,0,5,0,0,0,0,1,0,0,0,3,1,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3
2012-2013,Bronx,New York City Geographic District #11,Ps 19 Judith K Weiss,321100010019,Elementary,New York City,Public,504,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,11,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7
2012-2013,Bronx,New York City Geographic District #11,Ps 21 Philip H Sheridan,321100010021,Elementary,New York City,Public,804,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,0,1,0,28,2,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,5
2012-2013,Bronx,New York City Geographic District #11,Ps 41 Gun Hill Road,321100010041,Elementary,New York City,Public,894,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4,0,1,0,0,0,4,0,3,0,1,0,0,0,0,0,0,1
2012-2013,Bronx,New York City Geographic District #11,Ps 68,321100010068,Elementary,New York City,Public,764,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,2,7,24,5,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2
2012-2013,Bronx,New York City Geographic District #11,Ps 76 The Bennington School,321100010076,Elementary,New York City,Public,1064,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2,1,0,0,18,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2012-2013,Bronx,New York City Geographic District #11,Ps 78 Anne Hutchinson,321100010078,Elementary,New York City,Public,722,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1,2,1,9,0,1,0,0,0,1,0,0,0,3,0,0,0,2,0,0,3
2012-2013,Bronx,New York City Geographic District #11,Ps 83 Donald Hertz,321100010083,Elementary,New York City,Public,1685,0,0,0,0,0,6,0,0,0,0,1,0,0,0,2,0,0,0,12,1,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
2012-2013,Bronx,New York City Geographic District #11,Ps 87,321100010087,Elementary,New York City,Public,609,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1
2012-2013,Bronx,New York City Geographic District #11,Ps 89,321100010089,Elementary,New York City,Public,1353,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,3,3,23,2,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10
2012-2013,Bronx,New York City Geographic District #11,Ps 96 Richard Rodgers,321100010096,Elementary,New York City,Public,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-2013,Bronx,New York City Geographic District #11,Ps 97,321100010097,Elementary,New York City,Public,775,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,4,4,7,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
2012-2013,Bronx,New York City Geographic District #11,Ps/ms 194,321100010194,Elementary,New York City,Public,1386,0,0,0,0,0,8,0,0,0,0,0,0,0,1,11,0,2,5,31,0,21,0,0,1,5,0,2,0,0,0,0,0,4,0,1,19
2012-2013,Bronx,New York City Geographic District #11,Ps/ms 498 Van Nest Academy,321100010498,Elementary,New York City,Public,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,1,0,2,0,2,0,0,0,3,0,0,4
2012-2013,Bronx,New York City Geographic District #11,School Of Diplomacy,321100010370,Middle,New York City,Public,341,0,0,0,0,0,2,0,0,0,1,0,0,0,0,6,0,3,1,31,0,4,0,0,0,1,0,0,0,0,0,0,2,2,1,0,14
2012-2013,Bronx,New York City Geographic District #11,Young Scholars Academy Of The Bronx,321100010289,Middle,New York City,Public,322,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,2,14,0,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3
2012-2013,Bronx,New York City Geographic District #12,Academy Of Independent Learning And Leadership,321200010129,Middle,New York City,Public,518,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
2012-2013,Bronx,New York City Geographic District #12,Accion Academy,321200010341,Middle,New York City,Public,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2
2012-2013,Bronx,New York City Geographic District #12,Archer Elementary School,321200010531,,New York City,Public,352,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2012-2013,Bronx,New York City Geographic District #12,Arturo A Schomburg Satellite Academy Bronx,321200011446,Senior High,New York City,Public,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,8
2012-2013,Bronx,New York City Geographic District #12,Bronx Career And College Preparatory High School,321200011479,Senior High,New York City,Public,298,0,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0,2,0,19,2,9,0,0,0,2,0,1,0,0,0,0,0,1,1,0,35
2012-2013,Bronx,New York City Geographic District #12,Bronx Envision Academy,321200011511,,New York City,Public,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,4,0,0,0,1,0,1,0,0,0,0,0,1,2,0,6
2012-2013,Bronx,New York City Geographic District #12,Bronx Latin School,321200011267,Junior-Senior High,New York City,Public,443,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,54,0,12,0,0,0,0,0,3,0,0,0,0,0,1,0,2,67
2012-2013,Bronx,New York City Geographic District #12,Bronx Little School,321200011691,Elementary,New York City,Public,326,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District #12,Bronx Regional High School,321200011480,Senior High,New York City,Public,243,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,4,1,2,0,0,0,1,0,1,0,0,0,0,2,0,0,0,15
2012-2013,Bronx,New York City Geographic District #12,Cinema School (the),321200011478,Senior High,New York City,Public,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
2012-2013,Bronx,New York City Geographic District #12,East Bronx Academy For The Future,321200011271,Junior-Senior High,New York City,Public,617,0,0,0,0,0,3,0,0,0,1,2,0,0,0,2,0,3,1,55,4,34,0,0,0,5,0,1,0,0,0,0,1,6,4,3,62
2012-2013,Bronx,New York City Geographic District #12,Emolior Academy,321200010383,Middle,New York City,Public,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
2012-2013,Bronx,New York City Geographic District #12,Entrada Academy,321200010384,Middle,New York City,Public,348,0,0,0,0,0,2,0,0,0,0,0,0,0,1,13,0,2,3,21,1,4,0,0,0,3,0,0,0,0,0,0,1,0,0,0,8
2012-2013,Bronx,New York City Geographic District #12,Esmt-is 190,321200010190,Middle,New York City,Public,247,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District #12,Explorations Academy,321200011251,Senior High,New York City,Public,362,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,5,0,0,0,1,0,1,0,0,0,0,2,5,2,2,16
2012-2013,Bronx,New York City Geographic District #12,Fannie Lou Hamer Freedom High School,321200011682,Senior High,New York City,Public,491,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,35,2,14,0,0,0,4,0,0,0,0,0,0,0,6,2,1,156
2012-2013,Bronx,New York City Geographic District #12,Fannie Lou Hamer Middle School,321200010286,Middle,New York City,Public,247,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2012-2013,Bronx,New York City Geographic District #12,Frederick Douglass Academy V Middle School,321200010273,Middle,New York City,Public,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2012-2013,Bronx,New York City Geographic District #12,High School Of World Cultures,321200011550,Senior High,New York City,Public,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
2012-2013,Bronx,New York City Geographic District #12,"Is 318 Math, Science & Tech Through Arts School",321200010318,Middle,New York City,Public,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012-2013,Bronx,New York City Geographic District #12,Jhs 98 Herman Ridder,321200010098,Middle,New York City,Public,381,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,7,1,1,0,0,0,2,0,1,0,0,0,0,0,1,1,1,3
2012-2013,Bronx,New York City Geographic District #12,Knowledge And Power Preparatory Academy Iii,321200010316,Middle,New York City,Public,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2012-2013,Bronx,New York City Geographic District #12,Metropolitan High School (the),321200011248,Senior High,New York City,Public,317,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
2012-2013,Bronx,New York City Geographic District #12,Metropolitan Soundview High School (the),321200011521,,New York City,Public,214,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
2012-2013,Bronx,New York City Geographic District #12,Monroe Academy For Business/law,321200011690,Senior High,New York City,Public,129,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
2012-2013,Bronx,New York City Geographic District #12,Monroe Academy For Visual Arts & Design,321200011692,Senior High,New York City,Public,458,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
2012-2013,Bronx,New York City Geographic District #12,Mott Hall V,321200010242,Junior High,New York City,Public,565,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,49,0,8,0,0,0,0,0,6,0,0,0,0,0,1,1,0,6
2012-2013,Bronx,New York City Geographic District #12,Pan American International High School At Monroe,321200011388,Senior High,New York City,Public,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,3
2012-2013,Bronx,New York City Geographic District #12,Peace And Diversity Academy,321200011278,Senior High,New York City,Public,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,8,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2
2012-2013,Bronx,New York City Geographic District #12,Performance Conservatory High School,321200011262,Senior High,New York City,Public,112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
2012-2013,Bronx,New York City Geographic District #12,Ps 102 Joseph O Loretan,321200010102,Elementary,New York City,Public,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2012-2013,Bronx,New York City Geographic District #12,Ps 134 George F Bristow,321200010134,Elementary,New York City,Public,713,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,10,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2012-2013,Bronx,New York City Geographic District #12,Ps 150 Charles James Fox,321200010150,Elementary,New York City,Public,933,0,0,0,0,0,1,0,0,0,2,1,0,0,0,8,0,1,0,28,1,6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6
2012-2013,Bronx,New York City Geographic District #12,Ps 195,321200010195,Elementary,New York City,Public,868,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District #12,Ps 196,321200010196,Elementary,New York City,Public,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District #12,Ps 211 ,321200010211,Elementary,New York City,Public,618,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,7,0,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1
2012-2013,Bronx,New York City Geographic District #12,Ps 212,321200010212,Elementary,New York City,Public,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0
2012-2013,Bronx,New York City Geographic District #12,Ps 214,321200010214,Elementary,New York City,Public,1010,0,0,0,0,0,4,0,0,0,0,1,0,0,1,6,1,2,4,12,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5
2012-2013,Bronx,New York City Geographic District #12,Ps 44 David C Farragut,321200010044,Elementary,New York City,Public,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2012-2013,Bronx,New York City Geographic District #12,Ps 47 John Randolph,321200010047,Elementary,New York City,Public,1092,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,1,0,13,1,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,1
2012-2013,Bronx,New York City Geographic District #12,Ps 50 Clara Barton,321200010050,Elementary,New York City,Public,438,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-2013,Bronx,New York City Geographic District #12,Ps 536,321200010536,,New York City,Public,295,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District #12,Ps 57 Crescent,321200010057,Elementary,New York City,Public,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,2,1,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
2012-2013,Bronx,New York City Geographic District #12,Ps 6 West Farms,321200010006,Elementary,New York City,Public,673,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
2012-2013,Bronx,New York City Geographic District #12,Ps 61 Francisco Oller,321200010061,Elementary,New York City,Public,374,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012-2013,Bronx,New York City Geographic District #12,Ps 66 School Of Higher Expectations,321200010066,Elementary,New York City,Public,639,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,12,2,5,0,0,0,1,0,2,0,0,0,0,0,1,1,0,4
2012-2013,Bronx,New York City Geographic District #12,Ps 67 Mohegan School,321200010067,Elementary,New York City,Public,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-2013,Bronx,New York City Geographic District #12,Ps 92,321200010092,Elementary,New York City,Public,510,0,0,0,0,0,7,0,0,0,0,0,0,0,1,4,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2012-2013,Bronx,New York City Geographic District #12,School Of Performing Arts,321200010217,Middle,New York City,Public,351,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,4,7,23,1,13,0,0,1,1,0,0,0,0,0,0,0,0,2,0,51
2012-2013,Bronx,New York City Geographic District #12,School Of Science And Applied Learning,321200010300,Elementary,New York City,Public,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District #12,Urban Assembly School For Wildlife Conservation,321200010372,Junior High,New York City,Public,462,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,2,1,0,4
2012-2013,Bronx,New York City Geographic District #12,Urban Scholars Community School,321200010463,Elementary,New York City,Public,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2
2012-2013,Bronx,New York City Geographic District #12,Wings Academy,321200011684,Senior High,New York City,Public,527,0,0,0,0,0,0,0,1,0,0,0,0,0,2,7,0,1,0,21,1,16,0,0,0,0,0,0,0,0,0,0,2,4,1,0,2
2012-2013,Kings,New York City Geographic District # 2,Urban Assembly New York Harbor School,310200011551,Senior High,New York City,Public,433,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,2,1,3,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0
2012-2013,Kings,New York City Geographic District #13,Acorn Community High School,331300011499,Senior High,New York City,Public,692,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,1,0,13,0,19,0,0,0,0,0,0,1,0,0,0,2,2,0,0,10
2012-2013,Kings,New York City Geographic District #13,Bedford Academy High School,331300011595,Senior High,New York City,Public,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,6
2012-2013,Kings,New York City Geographic District #13,Bedford Stuyvesant Preparatory High School,331300011575,Senior High,New York City,Public,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2012-2013,Kings,New York City Geographic District #13,Benjamin Banneker Academy ,331300011670,Senior High,New York City,Public,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
