School Year,County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon Possession Through Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2012-2013,Bronx,New York City Geographic District # 7,Performance School,320700010385,Elementary,New York City,Public,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
2012-2013,Bronx,New York City Geographic District # 7,Ps 1 Courtlandt School,320700010001,Elementary,New York City,Public,676,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,6,8,1,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,2
2012-2013,Bronx,New York City Geographic District # 7,Ps 154 Jonathan D Hyatt,320700010154,Elementary,New York City,Public,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,8,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
2012-2013,Bronx,New York City Geographic District # 7,Ps 157 Grove Hill,320700010157,Elementary,New York City,Public,692,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012-2013,Bronx,New York City Geographic District # 7,Ps 161 Ponce De Leon,320700010161,Elementary,New York City,Public,544,0,0,0,0,0,2,0,0,0,1,0,0,0,0,12,0,4,4,21,0,1,0,0,0,3,0,0,0,0,0,0,0,3,1,0,2
2012-2013,Bronx,New York City Geographic District # 7,Ps 179,320700010179,Elementary,New York City,Public,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
2012-2013,Bronx,New York City Geographic District # 7,Ps 18 John Peter Zenger,320700010018,Elementary,New York City,Public,533,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2012-2013,Bronx,New York City Geographic District # 7,Ps 25 Bilingual School,320700010025,Elementary,New York City,Public,429,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-2013,Bronx,New York City Geographic District # 7,Ps 277 ,320700010277,Elementary,New York City,Public,469,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,3,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
2012-2013,Bronx,New York City Geographic District # 7,Ps 30 Wilton,320700010030,Elementary,New York City,Public,528,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District # 7,Ps 43 Jonas Bronck,320700010043,Elementary,New York City,Public,499,0,0,0,0,0,6,0,0,0,1,0,0,0,0,7,0,2,1,11,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
